epoch,accuracy,loss,val_accuracy,val_loss
0,0.36174923181533813,1.331498146057129,0.4639769494533539,1.2658132314682007
1,0.6302241683006287,1.0083242654800415,0.6426513195037842,0.8978102803230286
2,0.7973982691764832,0.5707449913024902,0.7204610705375671,0.7161120176315308
3,0.8555217385292053,0.4032920300960541,0.6974063515663147,0.7277364730834961
4,0.8937171101570129,0.31692051887512207,0.6945244669914246,0.7564382553100586
5,0.9172433018684387,0.25447365641593933,0.6714697480201721,0.7879623770713806
6,0.9321893453598022,0.21106037497520447,0.6829971075057983,0.8504009246826172
7,0.9413229823112488,0.17834587395191193,0.6772334575653076,0.9099844694137573
8,0.9540547728538513,0.1502971053123474,0.6772334575653076,0.9637296199798584
9,0.9595903754234314,0.1331610083580017,0.6657060384750366,1.0238676071166992
10,0.9612510204315186,0.12071532011032104,0.6743515729904175,1.0641595125198364
11,0.9673401713371277,0.10950830578804016,0.651296854019165,1.097833275794983
12,0.9678937196731567,0.10238388925790787,0.6657060384750366,1.1361619234085083
13,0.9712150692939758,0.08688915520906448,0.6657060384750366,1.2009958028793335
14,0.972045361995697,0.09194313734769821,0.6743515729904175,1.2121503353118896
15,0.9712150692939758,0.08766014128923416,0.6599423885345459,1.2245488166809082
16,0.9748131632804871,0.0822189450263977,0.6858789920806885,1.2378883361816406
17,0.975643515586853,0.07743476331233978,0.6570605039596558,1.258170485496521
18,0.9745364189147949,0.07880865037441254,0.680115282535553,1.2755513191223145
19,0.9761970639228821,0.06858334690332413,0.6570605039596558,1.3842939138412476
20,0.976473867893219,0.07456374168395996,0.6657060384750366,1.3291014432907104
21,0.9778577089309692,0.06839294731616974,0.6743515729904175,1.3822429180145264
22,0.9786880612373352,0.06949310749769211,0.6772334575653076,1.3684557676315308
23,0.9773041605949402,0.06695796549320221,0.651296854019165,1.39701509475708
24,0.9773041605949402,0.06409576535224915,0.680115282535553,1.368064284324646
